player_name,dg_id,skill_pred,custom_pred,p_make_cut,top20_prob_model,top20_fair_odds_dec,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,p_make_cut_model,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag,ev_per_unit
"Kirk, Chris",12423,0.1583,0.1367607213518216,0.5524861878453039,0.1747,5.724098454493418,0.313,-0.015,0.043,-0.144,-0.0057948287985587,0.163714564135562,-0.145727619875503,2.67963325272166,0.5524861878453039,1.81,,,,,False,False,
"Kim, Michael",17543,0.1357,0.1232954673782709,0.5847953216374269,0.1717,5.824111822947001,0.327,-0.319,0.038,0.318,0.0053975001102119,0.177319164753468,-0.109051204352118,2.67658849711563,0.5847953216374269,1.7100000000000002,,,,,False,False,
"Reitan, Kristoffer",21407,0.09025,0.0710826938760878,0.6211180124223602,0.1662,6.01684717208183,-0.08,0.501,-0.233,0.323,0.0180628048918216,-0.0450174913815942,-0.0936135602200729,2.76926623558558,0.6211180124223602,1.61,,,,,False,False,
"Cauley, Bud",14502,0.1186999999999999,0.1054478863513443,0.5813953488372093,0.16555,6.040471156750226,0.176,0.052,0.08,0.009,0.0091134984343842,0.180673098746775,-0.115985592147164,2.67867917063991,0.5813953488372093,1.72,,,,,False,False,
"Brown, Dan",20766,0.086,0.092923670768114,0.5681818181818182,0.1634,6.119951040391677,0.14,0.028,-0.153,0.173,0.0073438270521814,-0.0450174913815942,0.0422008131598782,2.7664698089609,0.5681818181818182,1.7599999999999998,,,,,False,False,
"Valimaki, Sami",23816,0.06345,0.0585174261186728,0.5813953488372093,0.1626,6.150061500615006,0.139,-0.16,-0.095,0.365,0.0182304356322663,0.0007195376156148,-0.0339579716266724,2.69715004014263,0.5813953488372093,1.72,,,,,False,False,
"Jaeger, Stephan",16394,0.0054,0.03369215360824,0.5780346820809249,0.1515,6.600660066006601,0.102,-0.412,0.269,0.254,0.010276480620422,-0.0206357094838479,0.141481455101951,2.73183939874725,0.5780346820809249,1.7299999999999998,,,,,False,False,
"Hoge, Tom",15575,0.01175,0.0400335232383311,0.495049504950495,0.1445,6.920415224913495,0.168,-0.269,-0.05,-0.084,-0.0162204449382478,0.101800198043246,0.124077789149968,2.74186141899019,0.495049504950495,2.0200000000000005,,,,,False,False,
"Dumont De Chassart, Adrien",22002,-0.00275,-0.0099599719203518,0.5681818181818182,0.1443,6.93000693000693,-0.1,0.185,-0.016,0.076,0.0003486362355436,-0.010522481024249,-0.0335935574634687,2.76197475864367,0.5681818181818182,1.7599999999999998,,,,,False,False,
"Potgieter, Aldrich",27900,-0.0335,-0.0459816787284533,0.4901960784313725,0.14225,7.029876977152901,-0.2,0.516,-0.351,-0.174,-0.0087138276472065,-0.0450174913815942,-0.0467971069732648,2.89484651889481,0.4901960784313725,2.0400000000000005,,,,,False,False,
"Woodland, Gary",12577,0.0178499999999999,0.0080038617092944,0.5102040816326531,0.14195,7.044734061289187,-0.029,0.282,-0.329,-0.038,-0.003935643069681,0.252569050466468,-0.110405132535304,2.78468095134534,0.5102040816326531,1.96,,,,,False,False,
"Finau, Tony",11676,0.0036999999999999,0.0337432286153391,0.5494505494505494,0.13955,7.165890361877463,0.071,-0.171,0.166,-0.092,-0.0003688328908517,0.0571562027275978,0.136111508840222,2.74902136120507,0.5494505494505494,1.8200000000000005,,,,,False,False,
"Mouw, William",29770,0.0152999999999999,0.0009527260670265,0.5524861878453039,0.1393,7.178750897343861,-0.046,0.172,-0.077,0.053,0.0041383318295106,-0.0450174913815942,-0.0625511627342241,2.76068821959883,0.5524861878453039,1.81,,,,,False,False,
"Harman, Brian",8825,0.05075,0.0260458596649776,0.5681818181818182,0.1389,7.199424046076314,0.064,-0.039,0.104,0.149,0.0162623533269045,0.182976924685601,-0.177396109509964,2.67594091128757,0.5681818181818182,1.7599999999999998,,,,,False,False,
"Saddier, Adrien",14792,-4.999999999999883e-05,-0.011470645212516,0.5181347150259068,0.1362,7.342143906020559,0.02,-0.013,-0.014,-0.064,0.0011395297934461,-0.0450174913815942,-0.0464186181139047,2.75331439049783,0.5181347150259068,1.9299999999999995,,,,,False,False,
"Kim, Tom",24766,-0.0277,-0.0106164536031736,0.5649717514124294,0.13315,7.510326699211416,-0.064,-0.098,0.173,0.147,0.0206251970588205,0.013749832483761,0.0716676753337813,2.71170256445501,0.5649717514124294,1.77,,,,,False,False,
"Echavarria, Nico",22833,0.0114499999999999,-0.0306840193056498,0.5405405405405405,0.1328,7.53012048192771,-0.02,0.027,-0.081,0.238,0.0095642223362933,-0.0427608072614878,-0.204762005881024,2.75936211284833,0.5405405405405405,1.8500000000000003,,,,,False,False,
"Fox, Ryan",11889,0.02605,-0.0002363479590054,0.5319148936170213,0.13095,7.636502481863306,0.064,-0.063,0.026,0.04,-0.0135634860008761,0.0050499659430637,-0.125912488280355,2.72312608499145,0.5319148936170213,1.88,,,,,False,False,
"Nakajima, Keita",21074,-0.02145,-0.0225155304086499,0.5208333333333334,0.1295,7.722007722007722,-0.061,0.056,-0.171,0.152,0.0024124019988747,-0.0450174913815942,0.0047205198027117,2.73524958887558,0.5208333333333334,1.92,,,,,False,False,
"Vilips, Karl",24304,-0.04965,-0.0318817270560178,0.5076142131979695,0.1267,7.892659826361483,-0.051,-0.068,-0.047,0.001,-0.0095981530838196,-0.0450174913815942,0.104894814107219,2.78094572059483,0.5076142131979695,1.97,,,,,False,False,
"Simpson, Webb",11049,-0.0258,-0.0258986696943126,0.5076142131979695,0.124,8.064516129032258,-0.016,-0.132,0.236,-0.076,0.0040323346207329,0.265169918900359,-0.0688019955070192,2.69882903092971,0.5076142131979695,1.97,,,,,False,False,
"Whaley, Vince",25908,-0.00865,-0.0204010432990289,0.5988023952095809,0.1226,8.156606851549755,-0.023,-0.2,0.208,0.332,0.0144989608641777,-0.0830625626306934,-0.0452390562695602,2.67688315373369,0.5988023952095809,1.67,,,,,False,False,
"Ramey, Chad",19840,-0.0676,-0.0533524247033639,0.5494505494505494,0.12175,8.213552361396305,-0.191,0.071,-0.006,0.203,0.0128098235818873,-0.0420160730953982,0.0753369829660862,2.7075259614239,0.5494505494505494,1.8200000000000005,,,,,False,False,
